,City,float_value,id,label,type,percent_value,string_value,currency_dollar_value,int_value,url_value
12,ottawa,0.5681,STARTUP-CLIMATE-SCENE-TELESCORE,Startup climate scene [Teleport score],float,,,,,
13,ottawa,0.6925,STARTUP-CLIMATE-STARTUPS-TELESCORE,Startups [Teleport score],float,,,,,
14,ottawa,,WORKFROM-COWORKING-SPACES-COUNT,Coworking spaces on WorkFrom.co,int,,,,10.0,
0,ottawa,,COMPANY-PROFIT-TAX-RATE,Profit tax (%% of profit),percent,0.21,,,,
1,ottawa,0.9574,COMPANY-PROFIT-TAX-RATE-TELESCORE,Effective company profit tax rate on payouts as dividends [Teleport score],float,,,,,
2,ottawa,0.4975,INCOME-TAX-TELESCORE,Income tax level [Teleport score],float,,,,,
3,ottawa,,TAX-VAT,VAT (Sales Tax),percent,0.05,,,,
4,ottawa,,TIME-OVERHEAD-COMPANY-TAXES,Time overhead to file company taxes,int,,,,131.0,
0,ottawa,,HUMAN-CITIES-PAGE-URLS,Human city page,url,,,,,http://cities.human.co/details/Canada/Ottawa
1,ottawa,0.7387,TRAFFIC-INDEX-TELESCORE,Traffic handling [Teleport score],float,,,,,
0,ottawa,,AIRPORT-HUB-INDEX-DETAIL,Airport hub,int,,,,26.0,
1,ottawa,0.1893,AIRPORT-HUB-TELESCORE,Airport hub [Teleport score],float,,,,,
2,ottawa,0.1171,TRAIN-TRANSPORT-TELESCORE,Intercity train connectivity [Teleport score],float,,,,,
0,halifax,81.8,BUSINESS-FREEDOM,Business freedom,float,,,,,
1,halifax,0.8027,BUSINESS-FREEDOM-TELESCORE,Business freedom [Teleport score],float,,,,,
2,halifax,81.0,CORRUPTION-FREEDOM,Freedom from corruption,float,,,,,
3,halifax,0.8871,CORRUPTION-FREEDOM-TELESCORE,Freedom from corruption [Teleport score],float,,,,,
4,halifax,72.6,LABOR-RESTRICTIONS,Lack of labor restrictions,float,,,,,
5,halifax,0.6705,LABOR-RESTRICTIONS-TELESCORE,Lack of labor restrictions [Teleport score],float,,,,,
6,halifax,1.5,TIME-TO-OPEN-BUSINESS,Time to open a business,float,,,,,
